  Time Pressure
 (hr) (psia)
  0 4800
  0.001         4795.745017694412
  0.002 4791.502052329925
  0.003 4787.270635342611
  0.004 4783.049011568257
  0.005 4778.83804444334
  0.006 4774.638210389917
  0.007000000000000001 4770.44820838221
  0.008 4766.265732379822
  0.009000000000000001 4762.096187252972
  0.01009816608871767 4757.524619730306
  0.0113303287061475 4752.412732482209
  0.01271283790160479 4746.689486546929
  0.01426403873215002 4740.29356078797
  0.0160045146903503 4733.137868047744
  0.01795736083471991 4725.146937599506
  0.02014849024711505 4716.21471799866
  0.02260697788358621 4706.248846106597
  0.02536544638138007 4695.121265446183
  0.02846049894151539 4682.719743365949
  0.03193320503102176 4668.891318925948
  0.03582964534981471 4653.500849767729
  0.04020152329358663 4636.368168562071
  0.04510685102645445 4617.332435562467
  0.05061071926713134 4596.185301210623
  0.0567861610032173 4572.738222740813
  0.06371512059457231 4546.75611840171
  0.07148954112518521 4518.022350995154
  0.08021258443203695 4486.280558542211
  0.08999999999999983 4451.288471471287
  0.1009816608871765 4412.780037403245
  0.1133032870614748 4370.494423869121
  0.1271283790160476 4324.176307691652
  0.1426403873214999 4273.560316582115
  0.1600451469035027 4218.434112455224
  0.1795736083471987 4158.551661904675
  0.2014849024711501 4093.790238395503
  0.2260697788358616 4023.959986775053
  0.2536544638138002 3949.089009597558
  0.2846049894151534 3869.095646831519
  0.3193320503102171 3784.229149510912
  0.3582964534981465 3694.582097954158
  0.4020152329358657 3600.688531289267
  0.4510685102645438 3502.88655594115
  0.5061071926713127 3402.02293245595
  0.5678616100321722 3298.736548403735
  0.6371512059457221 3194.141648185198
  0.714895411251851 3089.182627811159
  0.8021258443203683 2985.095554792676
  0.899999999999997 2883.04763238026
  1.009816608871764 2784.162654885728
  1.133032870614746 2689.646701177909
  1.271283790160474 2600.258330662359
  1.426403873214997 2516.9943962874
  1.600451469035024 2440.08302369007
  1.795736083471984 2370.089440094563
  2.014849024711497 2306.71547311062
  2.260697788358613 2249.997937513067
  2.536544638137998 2199.282023914952
  2.846049894151529 2154.149270396562
  3.193320503102165 2113.832468854055
  3.582964534981459 2077.656229138594
  4.02015232935865 2044.945330318793
  4.51068510264543 2014.989284912285
  5.061071926713119 1987.303979602164
  5.678616100321713 1961.299400748662
  6.371512059457211 1936.682456946454
  7.1489541125185 1913.041664332659
  8.021258443203671 1890.222741007688
  8.999999999999956 1867.976180994752
  10.09816608871762 1846.227780569961
  11.33032870614745 1824.841467847356
  12.71283790160472 1803.780893058293
  14.26403873214995 1782.975686867985
  16.00451469035022 1762.404508645298
  17.95736083471982 1742.029634114944
  20.14849024711495 1721.835168715756
  22.60697788358609 1701.797904752641
  25.36544638137994 1681.904438992658
  28.46049894151525 1662.137930485363
  31.9332050310216 1642.486916567342
  35.82964534981453 1622.937894316393
  40.20152329358643 1603.481307253442
  45.10685102645422 1584.106027570833
  50.6107192671311 1564.804306841424
  56.78616100321703 1545.567044632645
  63.71512059457199 1526.388079552237
  71.48954112518486 1507.260087068774
  80.21258443203655 1488.178218337486
  89.99999999999938 1469.136655696163
  99.99999999999938 1451.742913125667
  109.9999999999994 1436.031584597489
  119.9999999999994 1421.706177012556
  129.9999999999994 1408.541745239955
  139.9999999999994 1396.36407594776
  144.9999999999997 1390.601186413141
  150 1385.035685635611
  150.001 1389.289573689799
  150.002 1393.531444810252
  150.003 1397.761767560901
  150.004 1401.982297106057
  150.005 1406.192170009046
  150.006 1410.390909847908
  150.007 1414.579817648422
  150.008 1418.761199451081
  150.009 1422.929650385472
  150.0100981660888 1427.500016311595
  150.0113303287062 1432.610555356822
  150.0127128379017 1438.332288596824
